BAR 0 511 1023 -1 3 3 15
BAR 0 0 0 0 0 0 0
BAR 0 511 1023 -1 3 3 15
BAR 1 511 1023 -1 3 3 15
BAR 1 0 0 0 0 0 0
BAR 1 511 1023 -1 3 3 15
BAR 2 511 1023 -1 3 3 15
BAR 2 0 0 0 0 0 0
BAR 2 511 1023 -1 3 3 15
BAR 3 511 1023 -1 3 3 15
BAR 3 0 0 0 0 0 0
BAR 3 511 1023 -1 3 3 15
BAR 4 511 1023 -1 3 3 15
BAR 4 0 0 0 0 0 0
BAR 4 511 1023 -1 3 3 15
BAR 5 511 1023 -1 3 3 15
BAR 5 0 0 0 0 0 0
BAR 5 511 1023 -1 3 3 15
BAR 6 511 1023 -1 3 3 15
BAR 6 0 0 0 0 0 0
BAR 6 511 1023 -1 3 3 15
BAR 7 511 1023 -1 3 3 15
BAR 7 0 0 0 0 0 0
BAR 7 511 1023 -1 3 3 15
BAR 8 511 1023 -1 3 3 15
BAR 8 0 0 0 0 0 0
BAR 8 511 1023 -1 3 3 15
BAR 9 511 1023 -1 3 3 15
BAR 9 0 0 0 0 0 0
BAR 9 511 1023 -1 3 3 15
BAR 10 511 1023 -1 3 3 15
BAR 10 0 0 0 0 0 0
BAR 10 511 1023 -1 3 3 15
BAR 11 511 1023 -1 3 3 15
BAR 11 0 0 0 0 0 0
BAR 11 511 1023 -1 3 3 15
OVL 0 511 1023 -1 3 3 15
OVL 0 0 0 0 0 0 0
OVL 0 511 1023 -1 3 3 15
OVL 1 511 1023 -1 3 3 15
OVL 1 0 0 0 0 0 0
OVL 1 511 1023 -1 3 3 15
OVL 2 511 1023 -1 3 3 15
OVL 2 0 0 0 0 0 0
OVL 2 511 1023 -1 3 3 15
OVL 3 511 1023 -1 3 3 15
OVL 3 0 0 0 0 0 0
OVL 3 511 1023 -1 3 3 15
OVL 4 511 1023 -1 3 3 15
OVL 4 0 0 0 0 0 0
OVL 4 511 1023 -1 3 3 15
OVL 5 511 1023 -1 3 3 15
OVL 5 0 0 0 0 0 0
OVL 5 511 1023 -1 3 3 15
OVL 6 511 1023 -1 3 3 15
OVL 6 0 0 0 0 0 0
OVL 6 511 1023 -1 3 3 15
OVL 7 511 1023 -1 3 3 15
OVL 7 0 0 0 0 0 0
OVL 7 511 1023 -1 3 3 15
OVL 8 511 1023 -1 3 3 15
OVL 8 0 0 0 0 0 0
OVL 8 511 1023 -1 3 3 15
OVL 9 511 1023 -1 3 3 15
OVL 9 0 0 0 0 0 0
OVL 9 511 1023 -1 3 3 15
OVL 10 511 1023 -1 3 3 15
OVL 10 0 0 0 0 0 0
OVL 10 511 1023 -1 3 3 15
OVL 11 511 1023 -1 3 3 15
OVL 11 0 0 0 0 0 0
OVL 11 511 1023 -1 3 3 15
FWD 0 511 1023 -1 3 3 15
FWD 0 0 0 0 0 0 0
FWD 0 511 1023 -1 3 3 15
FWD 1 511 1023 -1 3 3 15
FWD 1 0 0 0 0 0 0
FWD 1 511 1023 -1 3 3 15
FWD 2 511 1023 -1 3 3 15
FWD 2 0 0 0 0 0 0
FWD 2 511 1023 -1 3 3 15
FWD 3 511 1023 -1 3 3 15
FWD 3 0 0 0 0 0 0
FWD 3 511 1023 -1 3 3 15
FWD 4 511 1023 -1 3 3 15
FWD 4 0 0 0 0 0 0
FWD 4 511 1023 -1 3 3 15
FWD 5 511 1023 -1 3 3 15
FWD 5 0 0 0 0 0 0
FWD 5 511 1023 -1 3 3 15
FWD 6 511 1023 -1 3 3 15
FWD 6 0 0 0 0 0 0
FWD 6 511 1023 -1 3 3 15
FWD 7 511 1023 -1 3 3 15
FWD 7 0 0 0 0 0 0
FWD 7 511 1023 -1 3 3 15
FWD 8 511 1023 -1 3 3 15
FWD 8 0 0 0 0 0 0
FWD 8 511 1023 -1 3 3 15
FWD 9 511 1023 -1 3 3 15
FWD 9 0 0 0 0 0 0
FWD 9 511 1023 -1 3 3 15
FWD 10 511 1023 -1 3 3 15
FWD 10 0 0 0 0 0 0
FWD 10 511 1023 -1 3 3 15
FWD 11 511 1023 -1 3 3 15
